ID,Name,Type,Wiki,Chapter,Episode,Year,Note,Number,Appears in
Disco,Disco,Canon,https://onepiece.fandom.com/wiki/Disco,500.0,0394,2008,,,
Dive,Dive,Canon,https://onepiece.fandom.com/wiki/Dive,1024.0,1080,2021,Her name was revealed in SBS Volume 102.,,
Dobby_Ibadonbo,Dobby Ibadonbo,Canon,https://onepiece.fandom.com/wiki/Dobby_Ibadonbo,531.0,0432,2009,His name was revealed in Vivre Card.,,
Doberman,Doberman,Canon,https://onepiece.fandom.com/wiki/Doberman,420.0,0302,2006,His name was revealed in the Yellow databook.,,
Dobon,Dobon,Canon,https://onepiece.fandom.com/wiki/Dobon,926.0,0919,2018,,,
Doc_Q,Doc Q,Canon,https://onepiece.fandom.com/wiki/Doc_Q,223.0,0146,2002,His name was revealed in Chapter 234.,,
Dogra,Dogra,Canon,https://onepiece.fandom.com/wiki/Dogra,582.0,0493,2010,"His name was revealed by Curly Dadan in Chapter 584, he is formally identified in Chapter 587.",,
Dogya,Dogya,Canon,https://onepiece.fandom.com/wiki/Dogya,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Doha_Ittanka_II,Doha Ittanka II,Canon,https://onepiece.fandom.com/wiki/Doha_Ittanka_II,529.0,0430,2009,His name was revealed in Vivre Card.,,
Dojaku,Dojaku,TV Special,https://onepiece.fandom.com/wiki/Dojaku,,,2015,,10,Adventure of Nebulandia
Dolce,Dolce,Game,https://onepiece.fandom.com/wiki/Dolce,,,2001,,,Legend of the Rainbow Island
Doll,Doll,Canon,https://onepiece.fandom.com/wiki/Doll,1061.0,1090,2022,,,
Doma,Doma,Canon,https://onepiece.fandom.com/wiki/Doma,551.0,0460,2009,,,
Domino,Domino,Canon,https://onepiece.fandom.com/wiki/Domino,526.0,0422,2009,,,
Domo-kun_and_Nnke-kun,Domo-kun and Nnke-kun,Canon,https://onepiece.fandom.com/wiki/Domo-kun_and_Nnke-kun,9.0,,1997,Joke character. He first appeared in God's Gift for the Future. His name was revealed in the Blue databook.,,
Don_Axe,Don Axe,Game,https://onepiece.fandom.com/wiki/Don_Axe,,,2019,,,One Piece: World Seeker
Donai,Donai,Game,https://onepiece.fandom.com/wiki/Donai,,,2003,,,One Piece: Ocean's Dream!
Donald_Moderate,Donald Moderate,Movie,https://onepiece.fandom.com/wiki/Donald_Moderate,,,2019,,14,One Piece: Stampede
Donannoyo,Donannoyo,Canon,https://onepiece.fandom.com/wiki/Donannoyo,926.0,0919,2018,His name was revealed in Vivre Card.,,
Doni,Doni,Game,https://onepiece.fandom.com/wiki/Doni,,,2019,,,One Piece: World Seeker
Donovan,Donovan,Canon,https://onepiece.fandom.com/wiki/Donovan,318.0,,2004,,,
Donquino,Donquino,Canon,https://onepiece.fandom.com/wiki/Donquino,966.0,0959,2020,His name was revealed in SBS Volume 96.,,
Donquixote_Doflamingo,Donquixote Doflamingo,Canon,https://onepiece.fandom.com/wiki/Donquixote_Doflamingo,233.0,0151,2002,,,
Donquixote_Homing,Donquixote Homing,Canon,https://onepiece.fandom.com/wiki/Donquixote_Homing,763.0,0699,2014,,,
Donquixote_Mjosgard,Donquixote Mjosgard,Canon,https://onepiece.fandom.com/wiki/Donquixote_Mjosgard,625.0,0545,2011,His full name was revealed in Chapter 907.,,
Donquixote_Rosinante,Donquixote Rosinante,Canon,https://onepiece.fandom.com/wiki/Donquixote_Rosinante,761.0,0686,2014,"He was first mentioned by Trafalgar D. Water Law (as ""Cora-san"") in Chapter 729. His real name was revealed in Chapter 763.",,
Donquixote_Shivercalero,Donquixote Shivercalero,Canon,https://onepiece.fandom.com/wiki/Donquixote_Shivercalero,625.0,0545,2011,His name was revealed in the Vivre Card databook.,,
Dontacos,Dontacos,Filler,https://onepiece.fandom.com/wiki/Dontacos,,,2000,,020,Baratie Arc
Doom_Guardian,Doom Guardian,Game,https://onepiece.fandom.com/wiki/Doom_Guardian,,,2009,,,One Piece: Unlimited Cruise
Dopp,Dopp,Movie,https://onepiece.fandom.com/wiki/Dopp,,,2019,,14,One Piece: Stampede
Doran,Doran,Canon,https://onepiece.fandom.com/wiki/Doran,657.0,0583,2012,His name was revealed in Chapter 665.,,
Doran_(Non-Canon),Doran,Filler,https://onepiece.fandom.com/wiki/Doran_(Non-Canon),,,2008,,382,Spa Island Arc
Doringo,Doringo,Canon,https://onepiece.fandom.com/wiki/Doringo,0.0,0000,2009,His name was revealed in SBS Volume 96.,,
Dorothy,Dorothy,Movie,https://onepiece.fandom.com/wiki/Dorothy,,,2006,,7,The Giant Mechanical Soldier of Karakuri Castle
Dorry,Dorry,Canon,https://onepiece.fandom.com/wiki/Dorry,116.0,0071,2000,,,
Dosun,Dosun,Canon,https://onepiece.fandom.com/wiki/Dosun,611.0,0530,2011,,,
Dotaku,Dotaku,Canon,https://onepiece.fandom.com/wiki/Dotaku,926.0,0918,2018,His name was revealed in the Vivre Card databook.,,
Double_Down,Double Down,Movie,https://onepiece.fandom.com/wiki/Double_Down,,,2016,,13,One Piece Film: Gold
Doubt_Brothers,Doubt Brothers,Canon,https://onepiece.fandom.com/wiki/Doubt_Brothers,980.0,0986,2020,Their names were revealed in the Vivre Card databook.,,
Douglas_Bullet,Douglas Bullet,Movie,https://onepiece.fandom.com/wiki/Douglas_Bullet,,,2019,,14,One Piece: Stampede
Douglas_Gray,Douglas Gray,Supplementary Material,https://onepiece.fandom.com/wiki/Douglas_Gray,,,2019,,,Volume 10089
Dracule_Mihawk,Dracule Mihawk,Canon,https://onepiece.fandom.com/wiki/Dracule_Mihawk,49.0,0023,1998,He was first mentioned by Gin in Chapter 48 under his epithet. He was formally introduced in Chapter 50.,,
Dragon_Number_Thirteen,Dragon Number Thirteen,Canon,https://onepiece.fandom.com/wiki/Dragon_Number_Thirteen,655.0,0579,2012,His name was revealed in the Vivre Card databook.,,
Dragon_Number_Twenty-One,Dragon Number Twenty-One,Canon,https://onepiece.fandom.com/wiki/Dragon_Number_Twenty-One,675.0,0601,2012,Its name was revealed in the Vivre Card databook.,,
Drake_(Non-Canon),Drake,Movie,https://onepiece.fandom.com/wiki/Drake_(Non-Canon),,,2003,,4,Dead End Adventure
Draw,Draw,Canon,https://onepiece.fandom.com/wiki/Draw,,,2018,He was first introduced in One Piece novel A Volume 1.,,
Drayke,Drayke,Game,https://onepiece.fandom.com/wiki/Drayke,,,2001,,,Legend of the Rainbow Island
Drim,Drim,Game,https://onepiece.fandom.com/wiki/Drim,,,2003,,,One Piece: Ocean's Dream!
Drip,Drip,Canon,https://onepiece.fandom.com/wiki/Drip,598.0,0518,2010,His name was revealed in Chapter 603.,,
Drophy,Drophy,Canon,https://onepiece.fandom.com/wiki/Drophy,160.0,0103,2000,Her real name was revealed in Vivre Card.,,
Drug_Peclo,Drug Peclo,Canon,https://onepiece.fandom.com/wiki/Drug_Peclo,860.0,0828,2017,,,
Ducky_Bree,Ducky Bree,Canon,https://onepiece.fandom.com/wiki/Ducky_Bree,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Duncan,Duncan,Stage Show,https://onepiece.fandom.com/wiki/Duncan,,,2019,,,Piece Trail: The Adventurers and the Amazing Spring
Duval,Duval,Canon,https://onepiece.fandom.com/wiki/Duval,491.0,0386,2008,His name was revealed in Chapter 492.,,
Dwanger,Dwanger,Game,https://onepiece.fandom.com/wiki/Dwanger,,,2023,,,One Piece Odyssey
Eboshi,Eboshi,Movie,https://onepiece.fandom.com/wiki/Eboshi,,,2022,,15,One Piece Film: Red
Eccoli,Eccoli,Filler,https://onepiece.fandom.com/wiki/Eccoli,,,2000,,051,Loguetown Arc
Ed_(Actor),Ed (Actor),TV special,https://onepiece.fandom.com/wiki/Ed_(Actor),,,2003,,3,Protect! The Last Great Performance
Ed_(Loguetown),Ed (Loguetown),Filler,https://onepiece.fandom.com/wiki/Ed_(Loguetown),,,2000,,048,Loguetown Arc
Eddy,Eddy,Canon,https://onepiece.fandom.com/wiki/Eddy,223.0,0146,2002,His name was revealed in the Blue databook.,,
Vegapunk/Edison,Edison,Canon,https://onepiece.fandom.com/wiki/Vegapunk/Edison,1065.0,1095,2022,Its name was first seen on a chart in Chapter 1062.,,
Edomae,Edomae,Live Performance,https://onepiece.fandom.com/wiki/Edomae,,,2012,,,WANTED
Edward_Newgate,Edward Newgate,Canon,https://onepiece.fandom.com/wiki/Edward_Newgate,234.0,0151,2002,He was first mentioned by Smoker in Chapter 157. Better known by his epithet Whitebeard.,,
Edward_Weevil,Edward Weevil,Canon,https://onepiece.fandom.com/wiki/Edward_Weevil,802.0,0751,2015,He was first mentioned by Brannew in Chapter 700. He appeared as a silhouette in Chapter 801.,,
Egana,Egana,Canon,https://onepiece.fandom.com/wiki/Egana,483.0,0375,2007,His name was revealed in the Blue Deep databook.,,
Eggplant_Soldier,Eggplant Soldier,Canon,https://onepiece.fandom.com/wiki/Eggplant_Soldier,849.0,0814,2016,He was only named in the anime.,,
Eikon,Eikon,Canon,https://onepiece.fandom.com/wiki/Eikon,711.0,0641,2013,Her name was revealed in One Piece Magazine Vol.2.,,
Eiri,Eiri,Canon,https://onepiece.fandom.com/wiki/Eiri,866.0,0836,2017,Mentioned only character. He was mentioned by a giant in Chapter 866.,,
Eisha,Eisha,Live Performance,https://onepiece.fandom.com/wiki/Eisha,,,2012,,,WANTED
Ekie,Ekie,Game,https://onepiece.fandom.com/wiki/Ekie,,,2023,,,One Piece Odyssey
Eldoraggo,Eldoraggo,Movie,https://onepiece.fandom.com/wiki/Eldoraggo,,,2000,,1,One Piece: The Movie
Eliza_(World_Seeker),Eliza,Game,https://onepiece.fandom.com/wiki/Eliza_(World_Seeker),,,2019,,,One Piece: World Seeker
Eliza_(Odyssey),Eliza,Game,https://onepiece.fandom.com/wiki/Eliza_(Odyssey),,,2023,,,One Piece Odyssey
Elizabello_II,Elizabello II,Canon,https://onepiece.fandom.com/wiki/Elizabello_II,704.0,0632,2013,,,
Elizabeth,Elizabeth,TV Special,https://onepiece.fandom.com/wiki/Elizabeth,,,2016,,11,Heart of Gold
Ellio,Ellio,Game,https://onepiece.fandom.com/wiki/Ellio,,,2023,,,One Piece Odyssey
Elmy,Elmy,Canon,https://onepiece.fandom.com/wiki/Elmy,551.0,0460,2009,Her name was revealed in the Green databook.,,
Emeraude,Emeraude,Game,https://onepiece.fandom.com/wiki/Emeraude,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Emet,Emet,Canon,https://onepiece.fandom.com/wiki/Emet,1065.0,1095,2022,Its name was revealed in Chapter 1119.,,
Emily,Emily,Game,https://onepiece.fandom.com/wiki/Emily,,,2023,,,One Piece Odyssey
Emma,Emma,Canon,https://onepiece.fandom.com/wiki/Emma,1071.0,1112,2023,Her name was revealed in SBS Volume 102.,,
Emma_(Non-Canon),Emma,Game,https://onepiece.fandom.com/wiki/Emma_(Non-Canon),,,2019,,,One Piece: World Seeker
Emmy,Emmy,Live Performance,https://onepiece.fandom.com/wiki/Emmy,,,2015,,,Super Kabuki II: One Piece
Emporio_Ivankov,Emporio Ivankov,Canon,https://onepiece.fandom.com/wiki/Emporio_Ivankov,537.0,0438,2009,He was first mentioned by Bentham in Chapter 532.,,
Enel,Enel,Canon,https://onepiece.fandom.com/wiki/Enel,254.0,0167,2002,He was first mentioned by Conis in Chapter 241.,,
Enishida,Enishida,Canon,https://onepiece.fandom.com/wiki/Enishida,517.0,0411,2008,,,
Epoida,Epoida,Canon,https://onepiece.fandom.com/wiki/Epoida,553.0,0467,2009,His name was revealed in the Green databook.,,
Eric,Eric,Filler,https://onepiece.fandom.com/wiki/Eric,,,2001,,054,Warship Island Arc
Eric_(Child),Eric (Child),Game,https://onepiece.fandom.com/wiki/Eric_(Child),,,2019,,,One Piece: World Seeker
Eric_(Tongari_Island),Eric (Tongari Island),Stage Show,https://onepiece.fandom.com/wiki/Eric_(Tongari_Island),,,2019,,,Piece Trail: The Adventurers and the Amazing Spring
Eric_Dow,Eric Dow,Filler,https://onepiece.fandom.com/wiki/Eric_Dow,,,2000,,048,Loguetown Arc
Erik,Erik,Canon,https://onepiece.fandom.com/wiki/Erik,167.0,0105,2001,His name was revealed in the Blue databook.,,
Erio,Erio,Canon,https://onepiece.fandom.com/wiki/Erio,967.0,0959,2020,His name was revealed in SBS Volume 96.,,
Esta,Esta,Canon,https://onepiece.fandom.com/wiki/Esta,717.0,0647,2013,,,
Ethanbaron_V._Nusjuro,Ethanbaron V. Nusjuro,Canon,https://onepiece.fandom.com/wiki/Ethanbaron_V._Nusjuro,233.0,0151,2002,His name was revealed in Chapter 1086.,,
Ettara_Chaunkai,Ettara Chaunkai,Canon,https://onepiece.fandom.com/wiki/Ettara_Chaunkai,960.0,,2019,Her name was revealed in the Vivre Card databook.,,
Eunkov,Eunkov,Spin-Off,https://onepiece.fandom.com/wiki/Eunkov,,,2019,,08,Chin Piece
Eustass_Kid,Eustass Kid,Canon,https://onepiece.fandom.com/wiki/Eustass_Kid,498.0,0392,2008,,,
Ever,Ever,Movie,https://onepiece.fandom.com/wiki/Ever,,,2009,,10,One Piece Film: Strong World
Evil_Guardian,Evil Guardian,Game,https://onepiece.fandom.com/wiki/Evil_Guardian,,,2009,,,One Piece: Unlimited Adventure
Evil_Master_Beast,Evil Master Beast,Game,https://onepiece.fandom.com/wiki/Evil_Master_Beast,,,2009,,,One Piece: Unlimited Adventure
Fabre,Fabre,Filler,https://onepiece.fandom.com/wiki/Fabre,,,2009,,426,Little East Blue Arc
Fang,Fang,Game,https://onepiece.fandom.com/wiki/Fang,,,2003,,,Chopper's Big Adventure
Fanto,Fanto,Premier Show,https://onepiece.fandom.com/wiki/Fanto,,,2024,,,One Piece Premier Show 2024
Farafra,Farafra,Canon,https://onepiece.fandom.com/wiki/Farafra,167.0,0105,2001,,,
Farul,Farul,Canon,https://onepiece.fandom.com/wiki/Farul,722.0,0634,2013,,,
Fasti,Fasti,Game,https://onepiece.fandom.com/wiki/Fasti,,,2023,,,One Piece Odyssey
Fata,Fata,Novel,https://onepiece.fandom.com/wiki/Fata,,,2020,,3,One Piece novel HEROINES
Faust,Faust,Canon,https://onepiece.fandom.com/wiki/Faust,508.0,0401,2008,His name was revealed in SBS Volume 86.,,
Fazaza,Fazaza,Game,https://onepiece.fandom.com/wiki/Fazaza,,,2023,,,One Piece Odyssey
Fen_Bock,Fen Bock,Canon,https://onepiece.fandom.com/wiki/Fen_Bock,668.0,0593,2012,,,
Figarland_Garling,Figarland Garling,Canon,https://onepiece.fandom.com/wiki/Figarland_Garling,1086.0,1120,2023,,,
Figarland_Shamrock,Figarland Shamrock,Canon,https://onepiece.fandom.com/wiki/Figarland_Shamrock,907.0,0887,2018,His name was revealed in Chapter 1137.,,
Fillonce,Fillonce,Canon,https://onepiece.fandom.com/wiki/Fillonce,608.0,0527,2010,Her name was revealed in the Blue Deep databook.,,
Finamore,Finamore,Canon,https://onepiece.fandom.com/wiki/Finamore,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Fishbonen,Fishbonen,Canon,https://onepiece.fandom.com/wiki/Fishbonen,594.0,0511,2010,His name was revealed in the Blue Deep databook.,,
Fisher_Tiger,Fisher Tiger,Canon,https://onepiece.fandom.com/wiki/Fisher_Tiger,521.0,0415,2008,,,
Fist,Fist,Game,https://onepiece.fandom.com/wiki/Fist,,,2001,,,Legend of the Rainbow Island
Flapper,Flapper,Canon,https://onepiece.fandom.com/wiki/Flapper,711.0,0641,2013,,,
Flare,Flare,Canon,https://onepiece.fandom.com/wiki/Flare,,,1994,Appeared in the one-shot Monsters.,,
Flip,Flip,Filler,https://onepiece.fandom.com/wiki/Flip,,,2003,,139,Ruluka Island Arc
Flora,Flora,Premier Show,https://onepiece.fandom.com/wiki/Flora,,,2014,,6,One Piece Premier Show 2014
Fog_Suerte,Fog Suerte,Game,https://onepiece.fandom.com/wiki/Fog_Suerte,,,2023,,,One Piece Odyssey
Footbianco,Footbianco,Canon,https://onepiece.fandom.com/wiki/Footbianco,329.0,0233,2004,His name was revealed in the Vivre Card databook.,,
Forest_Boss,Forest Boss,Canon,https://onepiece.fandom.com/wiki/Forest_Boss,333.0,,2004,Cover story character.,,
Forliewbs,Forliewbs,Canon,https://onepiece.fandom.com/wiki/Forliewbs,566.0,,2009,His name was revealed in the Green databook.,,
Fossa,Fossa,Canon,https://onepiece.fandom.com/wiki/Fossa,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Fourtricks,Fourtricks,Canon,https://onepiece.fandom.com/wiki/Fourtricks,994.0,0982,2020,,,
Foxaw,Foxaw,Spin-Off,https://onepiece.fandom.com/wiki/Foxaw,,,2019,,09,Chin Piece
Foxy,Foxy,Canon,https://onepiece.fandom.com/wiki/Foxy,305.0,0207,2004,,,
Francois_(Non-Canon),Francois,Live Performance,https://onepiece.fandom.com/wiki/Francois_(Non-Canon),,,2015,,,Sanji's Pirates Restaurant
Francois,Francois,Canon,https://onepiece.fandom.com/wiki/Francois,537.0,0438,2009,His name was revealed in Vivre Card.,,
Franky,Franky,Canon,https://onepiece.fandom.com/wiki/Franky,329.0,0233,2004,"His name was revealed in Chapter 335. His birth name, Cutty Flam, was revealed in Chapter 346.",,
Fred,Fred,Game,https://onepiece.fandom.com/wiki/Fred,,,2019,,,One Piece: World Seeker
Fuga,Fuga,Canon,https://onepiece.fandom.com/wiki/Fuga,991.0,1055,2020,His name was revealed in Chapter 1030.,,
Fugar,Fugar,Canon,https://onepiece.fandom.com/wiki/Fugar,1079.0,1112,2023,,,
Fugetsu_Kisaburo,Fugetsu Kisaburo,Canon,https://onepiece.fandom.com/wiki/Fugetsu_Kisaburo,,,2024,He was first mentioned in SBS Volume 109.,,
Fugetsu_Omusubi,Fugetsu Omusubi,Canon,https://onepiece.fandom.com/wiki/Fugetsu_Omusubi,1024.0,1048,2021,His name was revealed in SBS Volume 101.,,
Fujin,Fujin,Canon,https://onepiece.fandom.com/wiki/Fujin,931.0,0925,2019,His name was revealed in Chapter 933.,,
Fukaboshi,Fukaboshi,Canon,https://onepiece.fandom.com/wiki/Fukaboshi,609.0,0528,2011,,,
Fukumi,Fukumi,Canon,https://onepiece.fandom.com/wiki/Fukumi,,,2022,She was first mentioned in SBS Volume 103.,,
Fukurokuju,Fukurokuju,Canon,https://onepiece.fandom.com/wiki/Fukurokuju,931.0,0925,2019,,,
Fukurou,Fukurou,Canon,https://onepiece.fandom.com/wiki/Fukurou,375.0,0264,2005,,,
Fullbody,Fullbody,Canon,https://onepiece.fandom.com/wiki/Fullbody,43.0,0020,1998,,,
Fune,Fune,Game,https://onepiece.fandom.com/wiki/Fune,,,2019,,,One Piece: World Seeker
Funkfreed,Funkfreed,Canon,https://onepiece.fandom.com/wiki/Funkfreed,365.0,0254,2005,,,
Funkorogasun,Funkorogasun,Spin-Off,https://onepiece.fandom.com/wiki/Funkorogasun,,,2018,,05,Chin Piece
Furika,Furika,Canon,https://onepiece.fandom.com/wiki/Furika,960.0,,2019,Her name was revealed in the Vivre Card databook.,,
Furrari,Furrari,Canon,https://onepiece.fandom.com/wiki/Furrari,906.0,0884,2018,His name was revealed in Vivre Card.,,
Fuza,Fuza,Canon,https://onepiece.fandom.com/wiki/Fuza,241.0,0155,2002,Its name was revealed in Chapter 248.,,
Ga_Kusha,Ga Kusha,Game,https://onepiece.fandom.com/wiki/Ga_Kusha,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gab,Gab,Canon,https://onepiece.fandom.com/wiki/Gab,580.0,0489,2010,His name was revealed in SBS Volume 101.,,
Gaburi,Gaburi,Game,https://onepiece.fandom.com/wiki/Gaburi,,,2008,,,One Piece: Unlimited Cruise
Gaburu,Gaburu,Canon,https://onepiece.fandom.com/wiki/Gaburu,702.0,0921,2013,He was first seen via a photograph.,,
Gacha_Gacha_Husband,Gacha Gacha Husband,Spin-Off,https://onepiece.fandom.com/wiki/Gacha_Gacha_Husband,,,2018,,02,Chin Piece
Gad,Gad,Game,https://onepiece.fandom.com/wiki/Gad,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Gage,Gage,Game,https://onepiece.fandom.com/wiki/Gage,,,2023,,,One Piece Odyssey
Gaimon,Gaimon,Canon,https://onepiece.fandom.com/wiki/Gaimon,22.0,0018,1998,,,
Gairam,Gairam,TV Special,https://onepiece.fandom.com/wiki/Gairam,,,2014,,8,3D2Y
Gal,Gal,Canon,https://onepiece.fandom.com/wiki/Gal,680.0,0606,2012,He was named in his anime concept art.,,
Galaxy,Galaxy,Canon,https://onepiece.fandom.com/wiki/Galaxy,437.0,,2007,Cover story character. His name was revealed in the Blue Deep databook.,,
Galdino,Galdino,Canon,https://onepiece.fandom.com/wiki/Galdino,117.0,0070,2000,His real name was revealed by an Impel Down Guards in Chapter 532.,,
Gally,Gally,Canon,https://onepiece.fandom.com/wiki/Gally,902.0,0877,2018,"He first appeared in Romance Dawn, Version 1 in 1996.",,
Gama_Pyonnosuke,Gama Pyonnosuke,Canon,https://onepiece.fandom.com/wiki/Gama_Pyonnosuke,909.0,0892,2018,He was named in SBS Volume 95.,,
Gambia,Gambia,Canon,https://onepiece.fandom.com/wiki/Gambia,705.0,0634,2013,,,
Gambo,Gambo,Canon,https://onepiece.fandom.com/wiki/Gambo,905.0,0883,2018,His name was revealed in Chapter 1082.,,
Gammon,Gammon,Spin-Off,https://onepiece.fandom.com/wiki/Gammon,,,2019,,09,Chin Piece
Gan_Fall,Gan Fall,Canon,https://onepiece.fandom.com/wiki/Gan_Fall,237.0,0153,2002,,,
Gancho,Gancho,Canon,https://onepiece.fandom.com/wiki/Gancho,711.0,0641,2013,,,
Gangaru,Gangaru,Canon,https://onepiece.fandom.com/wiki/Gangaru,951.0,0951,2019,His real name was revealed in Vivre Card.,,
Gannot,Gannot,Game,https://onepiece.fandom.com/wiki/Gannot,,,2023,,,One Piece Odyssey
Ganryu,Ganryu,Canon,https://onepiece.fandom.com/wiki/Ganryu,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Ganryu_(Roger_Pirates),Ganryu,Canon,https://onepiece.fandom.com/wiki/Ganryu_(Roger_Pirates),966.0,0968,2020,His name was revealed in SBS Volume 96.,,
Gantetsu,Gantetsu,Game,https://onepiece.fandom.com/wiki/Gantetsu,,,2001,,,Legend of the Rainbow Island
Ganzack,Ganzack,OVA,https://onepiece.fandom.com/wiki/Ganzack,,,1998,,1,One Piece - Defeat Him! The Pirate Ganzack
Ganzo,Ganzo,Movie,https://onepiece.fandom.com/wiki/Ganzo,,,2000,,1,One Piece: The Movie
Garays,Garays,Game,https://onepiece.fandom.com/wiki/Garays,,,2023,,,One Piece Odyssey
Garcia,Garcia,Filler,https://onepiece.fandom.com/wiki/Garcia,,,2012,,548,Fish-Man Island Arc
Gardar,Gardar,Game,https://onepiece.fandom.com/wiki/Gardar,,,2023,,,One Piece Odyssey
Gardoa,Gardoa,Filler,https://onepiece.fandom.com/wiki/Gardoa,,,2014,,654,Dressrosa Arc
Gari,Gari,Movie,https://onepiece.fandom.com/wiki/Gari,,,2012,,12,One Piece Film: Z
Garill,Garill,Game,https://onepiece.fandom.com/wiki/Garill,,,2023,,,One Piece Odyssey
Garon,Garon,Game,https://onepiece.fandom.com/wiki/Garon,,,2023,,,One Piece Odyssey
Garride,Garride,Game,https://onepiece.fandom.com/wiki/Garride,,,2001,,,Legend of the Rainbow Island
Garth,Garth,Game,https://onepiece.fandom.com/wiki/Garth,,,2023,,,One Piece Odyssey
Garudan,Garudan,Canon,https://onepiece.fandom.com/wiki/Garudan,951.0,0951,2019,His name was revealed in the Vivre Card databook.,,
Garz,Garz,Game,https://onepiece.fandom.com/wiki/Garz,,,2023,,,One Piece Odyssey
Gasparde,Gasparde,Movie,https://onepiece.fandom.com/wiki/Gasparde,,,2003,,4,Dead End Adventure
Gatherine,Gatherine,Canon,https://onepiece.fandom.com/wiki/Gatherine,379.0,0266,2005,,,
Gator,Gator,Game,https://onepiece.fandom.com/wiki/Gator,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gattenshochinosukeo,Gattenshochinosukeo,Canon,https://onepiece.fandom.com/wiki/Gattenshochinosukeo,954.0,0955,2019,His name was revealed in the Vivre Card databook.,,
Gatz,Gatz,Canon,https://onepiece.fandom.com/wiki/Gatz,702.0,0631,2013,His name was revealed in Chapter 709.,,
Gavivel_Papelchinoir,Gavivel Papelchinoir,Game,https://onepiece.fandom.com/wiki/Gavivel_Papelchinoir,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gazelleman,Gazelleman,Canon,https://onepiece.fandom.com/wiki/Gazelleman,914.0,0900,2018,,,
Gecko_Moria,Gecko Moria,Canon,https://onepiece.fandom.com/wiki/Gecko_Moria,449.0,0343,2007,,,
Gedatsu,Gedatsu,Canon,https://onepiece.fandom.com/wiki/Gedatsu,241.0,0155,2002,His name was revealed in Chapter 254.,,
Gem,Gem,Canon,https://onepiece.fandom.com/wiki/Gem,110.0,0065,1999,His real name was revealed in Vivre Card.,,
Genbo,Genbo,Canon,https://onepiece.fandom.com/wiki/Genbo,249.0,0163,2002,His name was revealed by Wyper in Chapter 251.,,
Genrin,Genrin,Canon,https://onepiece.fandom.com/wiki/Genrin,940.0,0937,2019,His name was revealed in Vivre Card.,,
Genzo,Genzo,Canon,https://onepiece.fandom.com/wiki/Genzo,71.0,0032,1999,,,
George_Black,George Black,Canon,https://onepiece.fandom.com/wiki/George_Black,536.0,0436,2009,Mentioned only character. Their name was seen on Impel Down's level 5 prisoner list.,,
George_Mach,George Mach,Canon,https://onepiece.fandom.com/wiki/George_Mach,313.0,0217,2004,,,
Gerd,Gerd,Canon,https://onepiece.fandom.com/wiki/Gerd,866.0,0836,2017,,,
Geronimo,Geronimo,Filler,https://onepiece.fandom.com/wiki/Geronimo,,,2002,,095,Arabasta Arc
Gerotini,Gerotini,Canon,https://onepiece.fandom.com/wiki/Gerotini,1079.0,1112,2023,,,
Giberson,Giberson,Canon,https://onepiece.fandom.com/wiki/Giberson,860.0,0828,2017,,,
Gido,Gido,Game,https://onepiece.fandom.com/wiki/Gido,,,2023,,,One Piece Odyssey
Gig,Gig,Canon,https://onepiece.fandom.com/wiki/Gig,1024.0,1067,2021,His name was revealed in SBS Volume 102.,,
Gild_Tesoro,Gild Tesoro,Filler,https://onepiece.fandom.com/wiki/Gild_Tesoro,,,2016,,750,Silver Mine Arc
Gill_Bastar,Gill Bastar,One-Shot,https://onepiece.fandom.com/wiki/Gill_Bastar,,,1993,,,Wanted!
Gillian,Gillian,Game,https://onepiece.fandom.com/wiki/Gillian,,,2023,,,One Piece Odyssey
Gimlet,Gimlet,Canon,https://onepiece.fandom.com/wiki/Gimlet,775.0,0715,2015,,,
Gin,Gin,Canon,https://onepiece.fandom.com/wiki/Gin,44.0,0021,1998,His name was revealed in Chapter 45.,,
Gina,Gina,Canon,https://onepiece.fandom.com/wiki/Gina,318.0,0215,2004,,,
Ginger,Ginger,Filler,https://onepiece.fandom.com/wiki/Ginger,,,2019,,895,Cidre Guild Arc
Ginger_(Scientist),Ginger,Game,https://onepiece.fandom.com/wiki/Ginger_(Scientist),,,2023,,,One Piece Odyssey
Ginko,Ginko,Canon,https://onepiece.fandom.com/wiki/Ginko,682.0,0608,2012,She is named in Episode 608 credits.,,
Ginnosuke,Ginnosuke,Canon,https://onepiece.fandom.com/wiki/Ginnosuke,919.0,0909,2018,His name was revealed in Vivre Card.,,
Ginny,Ginny,Canon,https://onepiece.fandom.com/wiki/Ginny,1095.0,1129,2023,,,
Ginrummy,Ginrummy,Canon,https://onepiece.fandom.com/wiki/Ginrummy,795.0,0739,2015,,,
Giolla,Giolla,Canon,https://onepiece.fandom.com/wiki/Giolla,682.0,0608,2012,Her name was revealed in Chapter 714.,,
