Name,Type,Chapter,Episode,Year,Note,Number,Appears in
Charlotte Newshi,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Noisette,Canon,862.0,0832,2017,His name was revealed in the credits of Episode 833. His full name was revealed in SBS Volume 90.,,
Charlotte Normande,Canon,845.0,0809,2016,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Nougat,Canon,894.0,0869,2018,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Nusstorte,Canon,854.0,0822,2017,His name was revealed in Chapter 882.,,
Charlotte Nutmeg,Canon,894.0,0869,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Opera,Canon,829.0,0789,2016,His name was fully revealed in Chapter 843.,,
Charlotte Oven,Canon,861.0,0827,2017,,,
Charlotte Panna,Canon,897.0,,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Perospero,Canon,834.0,0795,2016,,,
Charlotte Poire,Canon,860.0,0830,2017,Her name was revealed in SBS Volume 88.,,
Charlotte Praline,Canon,830.0,0790,2016,,,
Charlotte Prim,Canon,896.0,0871,2018,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Pudding,Canon,651.0,0571,2012,Her name was first mentioned by Capone Bege in Chapter 812. She was first identified in Chapter 850.,,
Charlotte Raisin,Canon,845.0,0809,2016,His name was revealed in Chapter 894.,,
Charlotte Saint-Marc,Canon,862.0,0832,2017,His name was revealed in the credits of Episode 832. His full name was revealed in SBS Volume 90.,,
Charlotte Smoothie,Canon,846.0,0812,2016,She was first mentioned by a Whole Cake Island resident in chapter 843.,,
Charlotte Snack,Canon,894.0,0797,2016,He was first mentioned by Charlotte Brûlée in Chapter 837. His name was revealed by Pound in Chapter 843.,,
Charlotte Tablet,Canon,862.0,0832,2017,His name was revealed in the credits of Episode 832. His full name was revealed in One Piece Magazine Vol.5.,,
Charlotte Wafers,Canon,845.0,0809,2016,Her name was revealed in One Piece Magazine Vol.4.,,
Charlotte Wiro,Canon,845.0,0809,2016,His name was revealed in One Piece Magazine Vol.5.,,
Charlotte Yuen,Canon,894.0,0869,2018,,,
Charlotte Zuccotto,Canon,862.0,0832,2017,His name was revealed in the captions of Episode 839. His full name was revealed in One Piece Magazine Vol.5.,,
Chavez,TV Special,,,2016,,11,Heart of Gold
Chess,Canon,131.0,0078,2000,His name was revealed in Chapter 135.,,
Chesskippa,Canon,398.0,0278,2006,His name was revealed in the Blue Deep databook.,,
Chessmarimo,Canon,147.0,0087,2000,,,
Chew,Canon,69.0,0031,1999,His name was revealed in Chapter 75.,,
Chibinoa Mini,Spin-Off,,,2018,,02,Chin Piece
Chichilisia,Canon,879.0,1123,2017,Cover story character.,,
Chicken,Canon,1.0,0505,1997,Her name was revealed in the Blue databook.,,
Chico,Live Performance,,,2015,,,Super Kabuki II: One Piece
Chico (Pirate),OVA,,,1998,,1,One Piece - Defeat Him! The Pirate Ganzack
Chico Chip,Live Performance,,,2012,,,WANTED
Chicory,Canon,738.0,0672,2014,Her name was revealed in One Piece Magazine Vol.2.,,
Chihaya,Canon,919.0,0909,2018,Her name was revealed in Vivre Card.,,
Chimney,Canon,322.0,0229,2004,,,
Chinco Sennin,Spin-Off,,,2018,,Extra Edition,Chin Piece
Chinjao,Canon,704.0,0632,2013,,,
Chinpy,Spin-Off,,,2018,,01,Chin Piece
Chip,Filler,,,2002,,101,Arabasta Arc
Chip,Game,,,2001,,,Legend of the Rainbow Island
Chiqicheetah,Filler,,,2004,,213,Long Ring Long Land Arc
Chiya,Canon,287.0,0187,2003,His name was revealed in Vivre Card.,,
Chiyobbaba,Spin-Off,,,2018,,06,Chin Piece
Cho,Canon,952.0,0946,2019,She first appeared as a silhouette in Chapter 940.,,
Chochinman,Canon,980.0,,2020,His name was revealed in the Vivre Card databook.,,
Chocho,Canon,921.0,0912,2018,Her name was revealed in Vivre Card.,,
Choco Police,Canon,827.0,0786,2016,,,
Chocolat,Canon,598.0,0517,2010,Her name was revealed in the Blue Deep databook.,,
Choi,Canon,555.0,0464,2009,His name was revealed in the Green databook.,,
Chokyumei-no Chosuke,Canon,954.0,0955,2019,His name was revealed in the Vivre Card databook.,,
Chome,Canon,931.0,0925,2019,Her name was revealed in the credits of Episode 925.,,
Chopper,Spin-Off,,,2018,,4,One Piece in Love
Choronoa Choro,Spin-Off,,,2018,,02,Chin Piece
Choshi,Game,,,2002,,,Grand Line Dream Adventure Log
Chouchou,Canon,12.0,0006,1997,,,
Chuchun,Canon,306.0,0209,2004,,,
Chuji,Canon,1034.0,1061,2021,,,
Chujo,Game,,,2023,,,One Piece Odyssey
Chusuke,Live Performance,,,2012,,,WANTED
Cibalero,Game,,,2023,,,One Piece Odyssey
Cidre,Filler,,,2019,,895,Cidre Guild Arc
Clapp,Canon,1095.0,1129,2023,,,
Clapper,Live Performance,,,2018,,,One Piece Oto Utage
Clione,Canon,810.0,0757,2016,His name was revealed in SBS Volume 83.,,
Clou D. Clover,Canon,391.0,0275,2005,His name was revealed in Chapter 392.,,
Coburn,Canon,288.0,0187,2003,His name was revealed in Vivre Card.,,
Cocoa,Canon,598.0,0518,2010,Her name was revealed by Demalo Black in Chapter 599.,,
Cocox,Canon,22.0,0018,1998,His name was revealed in the Blue databook.,,
Coe,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Colon,Canon,1076.0,1109,2024,His name was revealed in Chapter 1132.,,
Colscon,Canon,574.0,,2010,His name was revealed in the Green databook.,,
Columbus,Canon,906.0,,2018,Cover story character. Her name was first mentioned in Chapter 800.,,
Comb,Premier Show,,,2019,,11,One Piece Premier Show 2019
Comil,Canon,289.0,0421,2003,His name was revealed on the Cover Page of Chapter 290.,,
Compo,Canon,1040.0,1066,2022,His name was revealed in SBS Volume 102.,,
Concelot,Canon,809.0,0758,2015,His name was revealed in Vivre Card.,,
Conis,Canon,239.0,0154,2002,,,
Conney,Canon,1099.0,1133,2023,She was first mentioned in Chapter 908.,,
Corgi,Canon,328.0,0233,2004,,,
Coribou,Canon,600.0,0519,2010,He was first mentioned by Demalo Black in Chapter 598.,,
Cornelia,Canon,552.0,0461,2009,Her name was revealed in One Piece Magazine Vol.2.,,
Corto,Filler,,,2009,,426,Little East Blue Arc
Cosette,Canon,839.0,0800,2016,,,
Cosmo,Canon,437.0,,2007,Cover story character. His name was revealed in the Blue Deep databook.,,
Cosmos,Canon,516.0,0410,2008,Her name was revealed in SBS Volume 54.,,
Cotton,Canon,718.0,0648,2013,Her name was revealed in SBS Volume 73.,,
Count Times,Movie,,,2016,,13,One Piece Film: Gold
Couran,Canon,906.0,0884,2018,His name was revealed in Vivre Card.,,
Courtney,Novel,,,2021,,5,One Piece novel HEROINES
Cowboy,Canon,180.0,0111,2001,His name was revealed in the Blue databook.,,
Craven,Game,,,2019,,,One Piece: World Seeker
Creese,Game,,,2023,,,One Piece Odyssey
Crocodile,Canon,126.0,0076,2000,He was first mentioned by Nefertari Vivi in Chapter 113.,,
Crocus,Canon,102.0,0062,1999,,,
Croquis,Movie,,,2019,,14,One Piece: Stampede
Crown,Premier Show,,,2007,,1,One Piece Premier Show 2007
Cuore,Premier Show,,,2021,,,One Piece Premier Show 2021
Curiel,Canon,552.0,0461,2009,His name was revealed by Gecko Moria in Chapter 562.,,
Curly Dadan,Canon,582.0,0000,2010,She was first mentioned by Portgas D. Ace in Chapter 440.,,
Curve,Movie,,,2016,,13,One Piece Film: Gold
Cyrano,Canon,,,1994,Appeared in the one-shot Monsters.,,
D.R.,Canon,,,1994,Appeared in the one-shot Monsters.,,
DJ Gappa,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
DJ Parrot,Live Attraction,,,2017,,3,One Piece Live Attraction: Phantom
DJ Satan,Omake,,,2002,,2,Luffy Pirates 4-Cell Theatre
Dachoman,Canon,940.0,0937,2019,He was named in Episode 937 credits.,,
Dacson,Movie,,,2022,,15,One Piece Film: Red
Daddy Dee,Canon,79.0,0035,1999,His name was revealed in the Blue databook.,,
Daddy Masterson,Filler,,,2000,,050,Loguetown Arc
Dagama,Canon,704.0,0632,2013,,,
Dago,Canon,329.0,0233,2004,His name was revealed in the Vivre Card databook.,,
Dahlia,Novel,,,2021,,5,One Piece novel HEROINES
Dahlia,Game,,,2023,,,One Piece Odyssey
Daidalos,Canon,630.0,0550,2011,,,
Daifugo,Canon,934.0,0928,2019,His name was revealed in Chapter 935.,,
Daigin,Canon,531.0,0432,2009,His name was revealed in the Blue Deep databook.,,
Daikoku,Canon,931.0,0925,2019,His name was revealed in Chapter 933.,,
Daikon,Canon,732.0,0664,2013,His name was revealed in SBS Volume 73.,,
Daisy,Canon,516.0,0410,2008,,,
Daisy,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Dalmatian,Canon,553.0,0462,2009,,,
Dalton,Canon,132.0,0080,2000,His name was revealed in Chapter 133.,,
Damask,Canon,706.0,0652,2013,,,
Damian,Game,,,2019,,,One Piece: World Seeker
Dandelion,Game,,,2002,,,Grand Line Dream Adventure Log
Dandy,Premier Show,,,2018,,10,One Piece Premier Show 2018
Danny,Movie,,,2000,,1,One Piece: The Movie
Dareda,Filler,,,2002,,135,Post-Arabasta Arc
Dareyorimo Tsuyoi,Spin-Off,,,2018,,05,Chin Piece
Daruma,Canon,611.0,0530,2011,,,
Dashiteyaro,Canon,951.0,0951,2019,His name was revealed in the Vivre Card databook.,,
Daz Bonez,Canon,160.0,0103,2000,His real name was revealed by Smoker in Chapter 217.,,
Deacon,Premier Show,,,2007,,1,One Piece Premier Show 2007
Decalvan Brothers,Canon,551.0,0460,2009,Their names were revealed in Episode 460.,,
Deigoro,Canon,958.0,0959,2019,His name was revealed in the Vivre Card databook.,,
Dejide,Game,,,2023,,,One Piece Odyssey
Delacuaji,Canon,551.0,0460,2009,His name was revealed in the Green databook.,,
Dellinger,Canon,702.0,0632,2013,,,
Demalo Black,Canon,598.0,0517,2010,His real name was revealed by a Pacifista in Chapter 601.,,
Demon of Doom,Game,,,2009,,,One Piece: Unlimited Cruise
Demoni Aiyo,Canon,966.0,,2019,Her name was revealed in the Vivre Card databook.,,
Den,Canon,616.0,0534,2011,,,
Denjiro,Canon,919.0,0909,2018,"He was first introduced under his alias ""Kyoshiro"". Real identity revealed in Chapter 973.",,
Denny,Movie,,,2000,,1,One Piece: The Movie
Desan,Movie,,,2019,,14,One Piece: Stampede
Desire,Filler,,,2016,,747,Silver Mine Arc
Devil Dias,Canon,497.0,0391,2008,His full name was revealed in the Blue Deep databook.,,
Devilgirl,Movie,,,2022,,15,One Piece Film: Red
Diamante,Canon,700.0,0629,2013,,,
Dias,Game,,,2001,,,Legend of the Rainbow Island
Dice,Movie,,,2016,,13,One Piece Film: Gold
Dick,Filler,,,2002,,135,Post-Arabasta Arc
Didit,Canon,585.0,0496,2010,Her name was revealed in Vivre Card.,,
Diego,TV Special,,,2012,,6,Episode of Luffy
Diesel,Canon,827.0,0786,2016,His name was revealed by Tony Tony Chopper in Chapter 849.,,
Diez Barrels,Canon,765.0,0704,2014,,,
Din,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Diomis,Game,,,2019,,,One Piece: World Seeker
Dip,Filler,,,2002,,101,Arabasta Arc
Dirt Boss,Canon,326.0,,2004,Cover story character.,,
Disc J,Canon,1040.0,1079,2022,His name was revealed in SBS Volume 102.,,
Disco,Canon,500.0,0394,2008,,,
Dive,Canon,1024.0,1080,2021,Her name was revealed in SBS Volume 102.,,
Dobby Ibadonbo,Canon,531.0,0432,2009,His name was revealed in Vivre Card.,,
Doberman,Canon,420.0,0302,2006,His name was revealed in the Yellow databook.,,
Dobon,Canon,926.0,0919,2018,,,
Doc Q,Canon,223.0,0146,2002,His name was revealed in Chapter 234.,,
Dogra,Canon,582.0,0493,2010,"His name was revealed by Curly Dadan in Chapter 584, he is formally identified in Chapter 587.",,
Dogya,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Doha Ittanka II,Canon,529.0,0430,2009,His name was revealed in Vivre Card.,,
Dojaku,TV Special,,,2015,,10,Adventure of Nebulandia
Dolce,Game,,,2001,,,Legend of the Rainbow Island
Doll,Canon,1061.0,1090,2022,,,
Doma,Canon,551.0,0460,2009,,,
Domino,Canon,526.0,0422,2009,,,
Domo-kun,Canon,9.0,,1997,Joke character. He first appeared in God's Gift for the Future. His name was revealed in the Blue databook.,,
Don Axe,Game,,,2019,,,One Piece: World Seeker
Donai,Game,,,2003,,,One Piece: Ocean's Dream!
Donald Moderate,Movie,,,2019,,14,One Piece: Stampede
Donannoyo,Canon,926.0,0919,2018,His name was revealed in Vivre Card.,,
Doni,Game,,,2019,,,One Piece: World Seeker
Donny,Movie,,,2000,,1,One Piece: The Movie
Donovan,Canon,318.0,,2004,,,
Donquino,Canon,966.0,0959,2020,His name was revealed in SBS Volume 96.,,
Donquixote Doflamingo,Canon,233.0,0151,2002,,,
Donquixote Homing,Canon,763.0,0699,2014,,,
Donquixote Mjosgard,Canon,625.0,0545,2011,His full name was revealed in Chapter 907.,,
Donquixote Rosinante,Canon,761.0,0686,2014,"He was first mentioned by Trafalgar D. Water Law (as ""Cora-san"") in Chapter 729. His real name was revealed in Chapter 763.",,
Donquixote Shivercalero,Canon,625.0,0545,2011,His name was revealed in the Vivre Card databook.,,
Dontacos,Filler,,,2000,,020,Baratie Arc
Doom Guardian,Game,,,2009,,,One Piece: Unlimited Cruise
Dopp,Movie,,,2019,,14,One Piece: Stampede
Doran,Canon,657.0,0583,2012,His name was revealed in Chapter 665.,,
Doran,Filler,,,2008,,382,Spa Island Arc
Doringo,Canon,0.0,0000,2009,His name was revealed in SBS Volume 96.,,
Dorothy,Movie,,,2006,,7,The Giant Mechanical Soldier of Karakuri Castle
Dorry,Canon,116.0,0071,2000,,,
Dosun,Canon,611.0,0530,2011,,,
Dotaku,Canon,926.0,0918,2018,His name was revealed in the Vivre Card databook.,,
Double Down,Movie,,,2016,,13,One Piece Film: Gold
Doubt Brothers,Canon,980.0,0986,2020,Their names were revealed in the Vivre Card databook.,,
Douglas Bullet,Movie,,,2019,,14,One Piece: Stampede
Douglas Gray,Supplementary Material,,,2019,,,Volume 10089
Dracule Mihawk,Canon,49.0,0023,1998,He was first mentioned by Gin in Chapter 48 under his epithet. He was formally introduced in Chapter 50.,,
Dragon Number Thirteen,Canon,655.0,0579,2012,His name was revealed in the Vivre Card databook.,,
Dragon Number Twenty-One,Canon,675.0,0601,2012,Its name was revealed in the Vivre Card databook.,,
Drake,Movie,,,2003,,4,Dead End Adventure
Draw,Canon,,,2018,He was first introduced in One Piece novel A Volume 1.,,
Drayke,Game,,,2001,,,Legend of the Rainbow Island
Drim,Game,,,2003,,,One Piece: Ocean's Dream!
Drip,Canon,598.0,0518,2010,His name was revealed in Chapter 603.,,
Drophy,Canon,160.0,0103,2000,Her real name was revealed in Vivre Card.,,
Drug Peclo,Canon,860.0,0828,2017,,,
Ducky Bree,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Duncan,Stage Show,,,2019,,,Piece Trail: The Adventurers and the Amazing Spring
Duval,Canon,491.0,0386,2008,His name was revealed in Chapter 492.,,
Dwanger,Game,,,2023,,,One Piece Odyssey
Eboshi,Movie,,,2022,,15,One Piece Film: Red
Eccoli,Filler,,,2000,,051,Loguetown Arc
Ed (Actor),TV special,,,2003,,3,Protect! The Last Great Performance
Ed (Loguetown),Filler,,,2000,,048,Loguetown Arc
Eddy,Canon,223.0,0146,2002,His name was revealed in the Blue databook.,,
Edison,Canon,1065.0,1095,2022,Its name was first seen on a chart in Chapter 1062.,,
Edomae,Live Performance,,,2012,,,WANTED
Edward Newgate,Canon,234.0,0151,2002,He was first mentioned by Smoker in Chapter 157. Better known by his epithet Whitebeard.,,
Edward Weevil,Canon,802.0,0751,2015,He was first mentioned by Brannew in Chapter 700. He appeared as a silhouette in Chapter 801.,,
Egana,Canon,483.0,0375,2007,His name was revealed in the Blue Deep databook.,,
Eggplant Soldier,Canon,849.0,0814,2016,He was only named in the anime.,,
Eikon,Canon,711.0,0641,2013,Her name was revealed in One Piece Magazine Vol.2.,,
Eiri,Canon,866.0,0836,2017,Mentioned only character. He was mentioned by a giant in Chapter 866.,,
Eisha,Live Performance,,,2012,,,WANTED
Ekie,Game,,,2023,,,One Piece Odyssey
Eldoraggo,Movie,,,2000,,1,One Piece: The Movie
Eliza,Game,,,2019,,,One Piece: World Seeker
Eliza,Game,,,2023,,,One Piece Odyssey
Eliza,Spin-Off,,,2022,,6,Shokugeki no Sanji
Elizabello II,Canon,704.0,0632,2013,,,
Elizabeth,TV Special,,,2016,,11,Heart of Gold
Ellio,Game,,,2023,,,One Piece Odyssey
Elmy,Canon,551.0,0460,2009,Her name was revealed in the Green databook.,,
Emeraude,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Emet,Canon,1065.0,1095,2022,Its name was revealed in Chapter 1119.,,
Emily,Game,,,2023,,,One Piece Odyssey
Emma,Canon,1071.0,1112,2023,Her name was revealed in SBS Volume 102.,,
Emma,Game,,,2019,,,One Piece: World Seeker
Emmy,Live Performance,,,2015,,,Super Kabuki II: One Piece
Emporio Ivankov,Canon,537.0,0438,2009,He was first mentioned by Bentham in Chapter 532.,,
Enel,Canon,254.0,0167,2002,He was first mentioned by Conis in Chapter 241.,,
Enishida,Canon,517.0,0411,2008,,,
Epoida,Canon,553.0,0467,2009,His name was revealed in the Green databook.,,
Eric,Filler,,,2001,,054,Warship Island Arc
Eric (Child),Game,,,2019,,,One Piece: World Seeker
Eric (Tongari Island),Stage Show,,,2019,,,Piece Trail: The Adventurers and the Amazing Spring
Eric Dow,Filler,,,2000,,048,Loguetown Arc
Erik,Canon,167.0,0105,2001,His name was revealed in the Blue databook.,,
Erio,Canon,967.0,0959,2020,His name was revealed in SBS Volume 96.,,
Esta,Canon,717.0,0647,2013,,,
Ethanbaron V. Nusjuro,Canon,233.0,0151,2002,His name was revealed in Chapter 1086.,,
Ettara Chaunkai,Canon,960.0,,2019,Her name was revealed in the Vivre Card databook.,,
Eunkov,Spin-Off,,,2019,,08,Chin Piece
Eustass Kid,Canon,498.0,0392,2008,,,
Ever,Movie,,,2009,,10,One Piece Film: Strong World
Evil Guardian,Game,,,2009,,,One Piece: Unlimited Adventure
Evil Master Beast,Game,,,2009,,,One Piece: Unlimited Adventure
Fabre,Filler,,,2009,,426,Little East Blue Arc
Fang,Game,,,2003,,,Chopper's Big Adventure
Fanto,Premier Show,,,2024,,,One Piece Premier Show 2024
Farafra,Canon,167.0,0105,2001,,,
Farul,Canon,722.0,0634,2013,,,
Fasti,Game,,,2023,,,One Piece Odyssey
Fata,Novel,,,2020,,3,One Piece novel HEROINES
Faust,Canon,508.0,0401,2008,His name was revealed in SBS Volume 86.,,
Fazaza,Game,,,2023,,,One Piece Odyssey
Fen Bock,Canon,668.0,0593,2012,,,
Figarland Garling,Canon,1086.0,1120,2023,,,
Figarland Shamrock,Canon,907.0,0887,2018,His name was revealed in Chapter 1137.,,
Fillonce,Canon,608.0,0527,2010,Her name was revealed in the Blue Deep databook.,,
Finamore,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Fishbonen,Canon,594.0,0511,2010,His name was revealed in the Blue Deep databook.,,
Fisher Tiger,Canon,521.0,0415,2008,,,
Fist,Game,,,2001,,,Legend of the Rainbow Island
Flapper,Canon,711.0,0641,2013,,,
Flare,Canon,,,1994,Appeared in the one-shot Monsters.,,
Flip,Filler,,,2003,,139,Ruluka Island Arc
Flora,Premier Show,,,2014,,6,One Piece Premier Show 2014
Fog Suerte,Game,,,2023,,,One Piece Odyssey
Footbianco,Canon,329.0,0233,2004,His name was revealed in the Vivre Card databook.,,
Forest Boss,Canon,333.0,,2004,Cover story character.,,
Forliewbs,Canon,566.0,,2009,His name was revealed in the Green databook.,,
Fossa,Canon,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Fourtricks,Canon,994.0,0982,2020,,,
Foxaw,Spin-Off,,,2019,,09,Chin Piece
Foxy,Canon,305.0,0207,2004,,,
Francois,Live Performance,,,2015,,,Sanji's Pirates Restaurant
Francois,Canon,537.0,0438,2009,His name was revealed in Vivre Card.,,
Franky,Canon,329.0,0233,2004,"His name was revealed in Chapter 335. His birth name, Cutty Flam, was revealed in Chapter 346.",,
Fred,Game,,,2019,,,One Piece: World Seeker
Fuga,Canon,991.0,1055,2020,His name was revealed in Chapter 1030.,,
Fugar,Canon,1079.0,1112,2023,,,
Fugetsu Kisaburo,Canon,,,2024,He was first mentioned in SBS Volume 109.,,
Fugetsu Omusubi,Canon,1024.0,1048,2021,His name was revealed in SBS Volume 101.,,
Fujin,Canon,931.0,0925,2019,His name was revealed in Chapter 933.,,
Fukaboshi,Canon,609.0,0528,2011,,,
Fukumi,Canon,,,2022,She was first mentioned in SBS Volume 103.,,
Fukurokuju,Canon,931.0,0925,2019,,,
Fukurou,Canon,375.0,0264,2005,,,
Fullbody,Canon,43.0,0020,1998,,,
Fune,Game,,,2019,,,One Piece: World Seeker
Funkfreed,Canon,365.0,0254,2005,,,
Funkorogasun,Spin-Off,,,2018,,05,Chin Piece
Furika,Canon,960.0,,2019,Her name was revealed in the Vivre Card databook.,,
Furrari,Canon,906.0,0884,2018,His name was revealed in Vivre Card.,,
Fuza,Canon,241.0,0155,2002,Its name was revealed in Chapter 248.,,
Ga Kusha,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gab,Canon,580.0,0489,2010,His name was revealed in SBS Volume 101.,,
Gaburi,Game,,,2008,,,One Piece: Unlimited Cruise
Gaburu,Canon,702.0,0921,2013,He was first seen via a photograph.,,
Gacha Gacha Husband,Spin-Off,,,2018,,02,Chin Piece
Gad,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Gage,Game,,,2023,,,One Piece Odyssey
Gaikotsu Yukichi,Canon,,,2009,"His name was revealed in SBS Volume 53. His face is printed on every 10,000 banknote.",,
Gaimon,Canon,22.0,0018,1998,,,
Gairam,TV Special,,,2014,,8,3D2Y
Gal,Canon,680.0,0606,2012,He was named in his anime concept art.,,
Galaxy,Canon,437.0,,2007,Cover story character. His name was revealed in the Blue Deep databook.,,
Galdino,Canon,117.0,0070,2000,His real name was revealed by an Impel Down Guards in Chapter 532.,,
Gally,Filler,,,2000,,48,Loguetown Arc
Gally,Canon,902.0,0877,2018,"He first appeared in Romance Dawn, Version 1 in 1996.",,
Gama Pyonnosuke,Canon,909.0,0892,2018,He was named in SBS Volume 95.,,
Gambia,Canon,705.0,0634,2013,,,
Gambo,Canon,905.0,0883,2018,His name was revealed in Chapter 1082.,,
Gammon,Spin-Off,,,2019,,09,Chin Piece
Gan Fall,Canon,237.0,0153,2002,,,
Gancho,Canon,711.0,0641,2013,,,
Gangaru,Canon,951.0,0951,2019,His real name was revealed in Vivre Card.,,
Gannot,Game,,,2023,,,One Piece Odyssey
Ganryu,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Ganryu,Canon,966.0,0968,2020,His name was revealed in SBS Volume 96.,,
Gantetsu,Game,,,2001,,,Legend of the Rainbow Island
Ganzack,OVA,,,1998,,1,One Piece - Defeat Him! The Pirate Ganzack
Ganzo,Movie,,,2000,,1,One Piece: The Movie
Garays,Game,,,2023,,,One Piece Odyssey
Garcia,Filler,,,2012,,548,Fish-Man Island Arc
Gardar,Game,,,2023,,,One Piece Odyssey
Gardoa,Filler,,,2014,,654,Dressrosa Arc
Gari,Movie,,,2012,,12,One Piece Film: Z
Garill,Game,,,2023,,,One Piece Odyssey
Garon,Game,,,2023,,,One Piece Odyssey
Garride,Game,,,2001,,,Legend of the Rainbow Island
Garth,Game,,,2023,,,One Piece Odyssey
Garudan,Canon,951.0,0951,2019,His name was revealed in the Vivre Card databook.,,
Garz,Game,,,2023,,,One Piece Odyssey
Gasparde,Movie,,,2003,,4,Dead End Adventure
Gatherine,Canon,379.0,0266,2005,,,
Gator,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gattenshochinosukeo,Canon,954.0,0955,2019,His name was revealed in the Vivre Card databook.,,
Gatz,Canon,702.0,0631,2013,His name was revealed in Chapter 709.,,
Gavivel Papelchinoir,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Gazelleman,Canon,914.0,0900,2018,,,
Gecko Moria,Canon,449.0,0343,2007,,,
Gedatsu,Canon,241.0,0155,2002,His name was revealed in Chapter 254.,,
Gem,Canon,110.0,0065,1999,His real name was revealed in Vivre Card.,,
Genbo,Canon,249.0,0163,2002,His name was revealed by Wyper in Chapter 251.,,
Genrin,Canon,940.0,0937,2019,His name was revealed in Vivre Card.,,
Genzo,Canon,71.0,0032,1999,,,
George Black,Canon,536.0,0436,2009,Mentioned only character. Their name was seen on Impel Down's level 5 prisoner list.,,
George Mach,Canon,313.0,0217,2004,,,
Gerd,Canon,866.0,0836,2017,,,
Geronimo,Filler,,,2002,,095,Arabasta Arc
Gerotini,Canon,1079.0,1112,2023,,,
Giberson,Canon,860.0,0828,2017,,,
Gido,Game,,,2023,,,One Piece Odyssey
Gig,Canon,1024.0,1067,2021,His name was revealed in SBS Volume 102.,,
Gild Tesoro,Filler,,,2016,,750,Silver Mine Arc
Gill Bastar,One-Shot,,,1993,,,Wanted!
Gillian,Game,,,2023,,,One Piece Odyssey
Gimlet,Canon,775.0,0715,2015,,,
Gin,Canon,44.0,0021,1998,His name was revealed in Chapter 45.,,
Gina,Canon,318.0,0215,2004,,,
Ginger,Game,,,2023,,,One Piece Odyssey
Ginger,Filler,,,2019,,895,Cidre Guild Arc
Ginko,Canon,682.0,0608,2012,She is named in Episode 608 credits.,,
Ginnosuke,Canon,919.0,0909,2018,His name was revealed in Vivre Card.,,
Ginny,Canon,1095.0,1129,2023,,,
Ginrummy,Canon,795.0,0739,2015,,,
Giolla,Canon,682.0,0608,2012,Her name was revealed in Chapter 714.,,
Gion,Canon,907.0,0887,2018,Better known by her alias Momousagi.,,
Giovanni,Canon,809.0,0758,2015,His name was revealed in Vivre Card.,,
Girarin,Filler,,,2004,,213,Long Ring Long Land Arc
Girash,Movie,,,2022,,15,One Piece Film: Red
Giro Chintaro,Canon,909.0,0892,2018,His name was revealed in Vivre Card.,,
Gismonda,Canon,705.0,0635,2013,His name was revealed in SBS Volume 104.,,
Gladius,Canon,682.0,0608,2012,His name was revealed in Chapter 723.,,
Glass,Premier Show,,,2019,,11,One Piece Premier Show 2019
Gloriosa,Canon,514.0,0408,2008,She was first introduced as Elder Nyon. Her real name was revealed by Boa Hancock in Chapter 517.,,
Glove,Filler,,,2007,,309,Enies Lobby Arc
Glove,Canon,427.0,0309,2006,,,
Glutbunny,Canon,1129.0,,2024,"It was first mentioned as the ""Ear God"" in Chapter 1127. Its real name was revealed in Chapter 1129.",,
God,One-Shot,,,1993,,,God's Gift for the Future
Gode,Canon,256.0,0169,2003,His name was revealed in the Blue Deep databook.,,
Going Merry,Canon,41.0,0017,1998,,,
Goki,Canon,954.0,0955,2020,His name was revealed by Scratchmen Apoo in Chapter 991.,,
Gol D. Roger,Canon,1.0,0001,1997,His real name was revealed by Kureha in Chapter 154.,,
Golass,Movie,,,2000,,1,One Piece: The Movie
Goldberg,Canon,899.0,0836,2017,He was mentioned by a giant in Chapter 866.,,
Goldfish Princess,Canon,189.0,,2001,Cover story character.,,
Gomorrah,Canon,366.0,0256,2005,,,
Gonbe,Canon,322.0,0229,2004,,,
Gonzo,Movie,,,2006,,7,The Giant Mechanical Soldier of Karakuri Castle
Goo,Canon,483.0,0375,2007,His name was revealed in the Blue Deep databook.,,
Googly-Eyed,Canon,101.0,0055,1999,Their name was revealed in Episode 567's credits.,,
Gordon,Movie,,,2022,,15,One Piece Film: Red
